subject_id,condition,frame_type,accuracy,n_trials,mean_rt
sub100,AB,BB,1.0,20,9.7823
sub100,AB,EM,0.95,20,9.1835
sub101,AB,BB,0.65,20,6.4287
sub101,AB,EM,1.0,20,5.575
sub102,AB,BB,0.8,20,4.9826
sub102,AB,EM,0.9,20,4.4742
sub103,AB,BB,0.85,20,4.3927
sub103,AB,EM,0.85,20,4.3632
sub104,AB,BB,0.85,20,3.95
sub104,AB,EM,0.8,20,4.1892
sub105,AB,BB,0.7,20,5.8363
sub105,AB,EM,0.8,20,5.8531
sub106,AB,BB,0.7,20,5.3406
sub106,AB,EM,0.75,20,4.2453
sub107,AB,BB,0.9,20,6.5859
sub107,AB,EM,1.0,20,5.89
sub108,AB,BB,0.75,20,5.6222
sub108,AB,EM,0.75,20,6.4722
sub109,AB,BB,0.8,20,6.3081
sub109,AB,EM,0.8,20,6.2324
sub110,AB,BB,0.9,20,4.2748
sub110,AB,EM,0.75,20,4.416
sub111,AB,BB,0.8,20,7.2053
sub111,AB,EM,0.95,20,6.3106
sub112,AB,BB,0.75,20,6.2986
sub112,AB,EM,0.8,20,5.416
sub113,AB,BB,0.8,20,4.1047
sub113,AB,EM,0.95,20,4.1091
sub114,AB,BB,0.85,20,4.8449
sub114,AB,EM,0.85,20,4.5949
sub115,AB,BB,0.85,20,5.8161
sub115,AB,EM,0.95,20,4.866
sub116,AB,BB,0.85,20,4.9815
sub116,AB,EM,0.95,20,5.2257
sub117,AB,BB,0.7,20,3.3681
sub117,AB,EM,0.7,20,3.2884
sub118,AB,BB,1.0,20,3.043
sub118,AB,EM,0.95,20,3.4586
sub119,AB,BB,0.9,20,6.1532
sub119,AB,EM,0.9,20,6.1686
sub120,AB,BB,0.8,20,8.7409
sub120,AB,EM,1.0,20,6.3359
sub121,AB,BB,0.85,20,5.2856
sub121,AB,EM,0.95,20,6.41
sub122,AB,BB,0.8,20,4.8947
sub122,AB,EM,0.85,20,4.6288
sub123,AB,BB,0.9,20,4.1766
sub123,AB,EM,0.9,20,4.9986
sub124,AB,BB,0.85,20,5.0617
sub124,AB,EM,0.95,20,5.2974
sub125,AB,BB,0.75,20,5.1582
sub125,AB,EM,0.95,20,5.0165
sub126,AB,BB,0.75,20,5.1241
sub126,AB,EM,0.8,20,4.3616
sub127,AB,BB,0.9,20,5.7276
sub127,AB,EM,0.95,20,4.9409
sub128,AB,BB,0.7,20,4.2122
sub128,AB,EM,0.7,20,4.4827
sub129,AB,BB,0.85,20,4.9588
sub129,AB,EM,0.8,20,5.3983
sub130,AB,BB,0.85,20,4.5206
sub130,AB,EM,0.9,20,3.7129
sub131,AB,BB,0.9,20,3.8852
sub131,AB,EM,1.0,20,3.2269
sub132,AB,BB,0.45,20,5.4169
sub132,AB,EM,0.75,20,6.1579
sub133,AB,BB,0.95,20,5.275
sub133,AB,EM,0.85,20,5.4684
sub134,AB,BB,0.85,20,3.874
sub134,AB,EM,0.8,20,3.6041
sub135,AB,BB,0.75,20,5.0035
sub135,AB,EM,0.75,20,5.0414
sub136,AB,BB,0.95,20,6.0252
sub136,AB,EM,0.85,20,6.284
sub137,AB,BB,0.9,20,7.498
sub137,AB,EM,0.85,20,6.4074
sub138,AB,BB,0.6,20,6.069
sub138,AB,EM,0.8,20,5.2941
sub139,AB,BB,0.9,20,5.7407
sub139,AB,EM,1.0,20,5.8001
sub14,NB,BB,0.9,20,5.5545
sub14,NB,EM,0.75,20,7.3116
sub140,AB,BB,0.75,20,5.4789
sub140,AB,EM,0.85,20,5.6344
sub141,AB,BB,0.8,20,4.2537
sub141,AB,EM,0.85,20,5.476
sub142,AB,BB,0.65,20,3.83
sub142,AB,EM,0.5,20,3.9152
sub143,AB,BB,0.7,20,3.3129
sub143,AB,EM,0.85,20,3.6351
sub144,AB,BB,0.95,20,4.8328
sub144,AB,EM,0.9,20,5.2055
sub145,AB,BB,0.75,20,6.991
sub145,AB,EM,0.8,20,5.3824
sub146,AB,BB,0.8,20,7.7485
sub146,AB,EM,0.7,20,8.6044
sub147,AB,BB,0.8,20,6.0748
sub147,AB,EM,0.8,20,6.4148
sub148,AB,BB,0.75,20,5.65
sub148,AB,EM,0.7,20,5.1481
sub149,AB,BB,0.7,20,5.4118
sub149,AB,EM,0.85,20,6.3992
sub15,NB,BB,0.75,20,5.4094
sub15,NB,EM,0.85,20,4.4175
sub150,NB,BB,0.75,20,3.3579
sub150,NB,EM,0.95,20,4.1759
sub152,NB,BB,0.8,20,10.3742
sub152,NB,EM,0.8,20,8.3959
sub153,NB,BB,0.65,20,5.2515
sub153,NB,EM,0.75,20,4.5362
sub154,NB,BB,0.95,20,4.5418
sub154,NB,EM,0.95,20,4.526
sub155,NB,BB,0.95,20,4.8309
sub155,NB,EM,0.8,20,6.086
sub156,NB,BB,0.95,20,4.2731
sub156,NB,EM,0.95,20,4.4682
sub157,AB,BB,0.75,20,5.1148
sub157,AB,EM,0.95,20,4.3811
sub158,NB,BB,0.85,20,6.6457
sub158,NB,EM,0.8,20,5.8658
sub159,NB,BB,0.8,20,5.8629
sub159,NB,EM,0.85,20,5.0776
sub16,NB,BB,0.75,20,6.0712
sub16,NB,EM,0.6,20,6.4284
sub160,NB,BB,0.6,20,4.3628
sub160,NB,EM,0.9,20,3.3855
sub162,NB,BB,0.8,20,3.2396
sub162,NB,EM,0.85,20,3.1992
sub163,NB,BB,0.95,20,4.8698
sub163,NB,EM,0.95,20,5.1006
sub164,NB,BB,0.9,20,9.9195
sub164,NB,EM,0.75,20,11.823
sub165,NB,BB,0.85,20,4.4846
sub165,NB,EM,0.9,20,3.8715
sub166,NB,BB,0.95,20,5.3502
sub166,NB,EM,0.9,20,5.7179
sub167,NB,BB,1.0,20,5.0441
sub167,NB,EM,0.9,20,4.0661
sub168,NB,BB,0.95,20,6.2882
sub168,NB,EM,1.0,20,6.2319
sub169,NB,BB,0.85,20,5.7748
sub169,NB,EM,0.9,20,7.3949
sub17,NB,BB,0.95,20,5.2196
sub17,NB,EM,1.0,20,6.6089
sub170,NB,BB,0.9,20,4.4966
sub170,NB,EM,0.9,20,6.7881
sub171,NB,BB,0.65,20,7.7509
sub171,NB,EM,0.8,20,6.9812
sub172,NB,BB,0.8,20,6.0583
sub172,NB,EM,0.95,20,5.9087
sub173,NB,BB,0.75,20,7.7688
sub173,NB,EM,0.85,20,6.1616
sub174,NB,BB,0.9,20,5.2098
sub174,NB,EM,1.0,20,5.7527
sub175,NB,BB,0.95,20,4.9644
sub175,NB,EM,0.85,20,5.2519
sub176,NB,BB,0.6,20,6.7312
sub176,NB,EM,0.7,20,5.7069
sub177,NB,BB,0.95,20,4.5319
sub177,NB,EM,0.95,20,3.8843
sub178,NB,BB,0.8,20,3.9544
sub178,NB,EM,0.85,20,3.919
sub179,NB,BB,0.85,20,6.6242
sub179,NB,EM,0.85,20,6.9814
sub18,NB,BB,0.9,20,4.5588
sub18,NB,EM,1.0,20,3.6452
sub180,NB,BB,0.9,20,5.5951
sub180,NB,EM,0.9,20,5.9271
sub181,NB,BB,0.9,20,3.056
sub181,NB,EM,0.95,20,3.4554
sub182,NB,BB,0.8,20,5.063
sub182,NB,EM,0.9,20,5.0176
sub183,NB,BB,0.85,20,5.0556
sub183,NB,EM,0.9,20,6.5942
sub184,NB,BB,0.8,20,3.08
sub184,NB,EM,0.75,20,2.8822
sub185,NB,BB,0.9,20,5.9279
sub185,NB,EM,0.9,20,5.3488
sub19,NB,BB,1.0,20,4.1804
sub19,NB,EM,0.85,20,3.0443
sub21,NB,BB,0.9,20,7.7552
sub21,NB,EM,0.85,20,6.3207
sub22,NB,BB,0.9,20,5.7828
sub22,NB,EM,0.95,20,6.2821
sub23,AB,BB,0.7,20,5.2864
sub23,AB,EM,0.95,20,3.9752
sub24,NB,BB,0.85,20,3.9881
sub24,NB,EM,0.95,20,3.7789
sub25,AB,BB,0.9,20,7.0285
sub25,AB,EM,0.85,20,8.072
sub26,AB,BB,0.9,20,5.0563
sub26,AB,EM,0.95,20,3.9402
sub27,AB,BB,0.9,20,4.7889
sub27,AB,EM,0.95,20,4.3854
sub28,AB,BB,0.95,20,13.7445
sub28,AB,EM,0.95,20,9.5211
sub29,AB,BB,0.75,20,7.7439
sub29,AB,EM,0.95,20,7.0016
sub30,AB,BB,0.75,20,4.0761
sub30,AB,EM,0.8,20,5.5695
sub31,AB,BB,0.85,20,5.5871
sub31,AB,EM,0.85,20,6.54
sub33,AB,BB,0.85,20,6.1317
sub33,AB,EM,0.8,20,6.477
sub34,AB,BB,0.9,20,4.9233
sub34,AB,EM,0.8,20,4.3886
sub35,AB,BB,0.9,20,4.5344
sub35,AB,EM,0.9,20,4.092
sub37,AB,BB,0.9,20,7.0624
sub37,AB,EM,0.75,20,5.5989
sub38,AB,BB,0.8,20,5.9913
sub38,AB,EM,0.85,20,5.7556
sub39,AB,BB,0.85,20,7.4275
sub39,AB,EM,0.95,20,6.6403
sub40,AB,BB,0.8,20,6.8726
sub40,AB,EM,0.75,20,6.0834
sub44,NB,BB,0.9,20,4.6558
sub44,NB,EM,0.9,20,5.8668
sub45,NB,BB,1.0,20,5.4541
sub45,NB,EM,1.0,20,4.0798
sub46,NB,BB,0.95,20,6.427
sub46,NB,EM,1.0,20,6.6516
sub47,NB,BB,0.8,20,4.9604
sub47,NB,EM,0.85,20,7.144
sub48,NB,BB,0.85,20,3.9081
sub48,NB,EM,0.9,20,4.1128
sub49,NB,BB,0.9,20,5.8789
sub49,NB,EM,0.9,20,5.7793
sub50,NB,BB,1.0,20,8.7762
sub50,NB,EM,0.75,20,8.6596
sub51,NB,BB,0.85,20,5.3008
sub51,NB,EM,0.85,20,6.9285
sub52,NB,BB,0.9,20,5.0407
sub52,NB,EM,0.9,20,4.8392
sub53,NB,BB,0.95,20,6.237
sub53,NB,EM,0.95,20,5.6525
sub54,NB,BB,0.85,20,5.4111
sub54,NB,EM,0.9,20,5.2613
sub55,NB,BB,0.85,20,4.9397
sub55,NB,EM,0.95,20,6.6885
sub56,NB,BB,0.85,20,9.9951
sub56,NB,EM,0.8,20,8.2481
sub57,NB,BB,0.8,20,5.1459
sub57,NB,EM,0.9,20,5.9691
sub58,NB,BB,0.9,20,9.5716
sub58,NB,EM,0.8,20,10.1792
sub59,NB,BB,0.8,20,9.595
sub59,NB,EM,0.85,20,8.7642
sub60,NB,BB,0.9,20,7.2058
sub60,NB,EM,0.9,20,6.2283
sub61,NB,BB,0.8,20,7.2647
sub61,NB,EM,0.85,20,6.465
sub62,NB,BB,0.95,20,5.4285
sub62,NB,EM,0.95,20,4.4676
sub63,NB,BB,0.8,20,4.5971
sub63,NB,EM,0.95,20,4.8769
sub64,NB,BB,1.0,20,6.6466
sub64,NB,EM,0.95,20,7.4444
sub65,NB,BB,0.9,20,5.8083
sub65,NB,EM,0.9,20,5.0004
sub66,NB,BB,0.75,20,11.4362
sub66,NB,EM,0.7,20,12.9231
sub67,NB,BB,0.7,20,7.5434
sub67,NB,EM,0.95,20,8.7236
sub68,NB,BB,0.95,20,5.1893
sub68,NB,EM,0.95,20,5.0153
sub69,NB,BB,0.8,20,4.4742
sub69,NB,EM,0.8,20,4.5057
sub70,NB,BB,0.85,20,4.3168
sub70,NB,EM,0.95,20,4.9555
sub71,NB,BB,0.95,20,3.8696
sub71,NB,EM,0.85,20,4.4276
sub72,NB,BB,0.9,20,5.5731
sub72,NB,EM,0.95,20,6.2891
sub73,NB,BB,0.85,20,8.3188
sub73,NB,EM,0.95,20,7.5944
sub74,NB,BB,1.0,20,5.2828
sub74,NB,EM,0.95,20,4.8064
sub75,NB,BB,0.9,20,6.7964
sub75,NB,EM,0.75,20,5.9568
sub76,NB,BB,0.95,20,5.7614
sub76,NB,EM,0.85,20,5.5642
sub77,NB,BB,0.6,20,5.6083
sub77,NB,EM,0.85,20,4.3368
sub78,NB,BB,0.95,20,5.5016
sub78,NB,EM,0.95,20,4.468
sub79,NB,BB,0.65,20,5.47
sub79,NB,EM,0.8,20,5.066
sub80,NB,BB,0.9,20,5.3123
sub80,NB,EM,0.85,20,6.2055
sub81,NB,BB,0.8,20,6.0748
sub81,NB,EM,0.95,20,5.2385
sub82,NB,BB,0.8,20,5.2863
sub82,NB,EM,0.95,20,6.3425
sub83,NB,BB,0.9,20,5.0695
sub83,NB,EM,1.0,20,4.426
sub84,NB,BB,0.85,20,4.7705
sub84,NB,EM,0.8,20,4.8967
sub85,NB,BB,0.85,20,7.012
sub85,NB,EM,0.9,20,6.7598
sub86,NB,BB,0.8,20,6.5006
sub86,NB,EM,0.9,20,6.0227
sub87,NB,BB,0.7,20,4.3815
sub87,NB,EM,0.95,20,3.674
sub88,AB,BB,0.9,20,5.5357
sub88,AB,EM,0.85,20,5.4604
sub89,AB,BB,0.85,20,7.6451
sub89,AB,EM,0.8,20,7.5606
sub90,AB,BB,1.0,20,5.4194
sub90,AB,EM,0.95,20,4.4806
sub91,AB,BB,1.0,20,6.7682
sub91,AB,EM,0.95,20,5.6732
sub92,AB,BB,1.0,20,4.7623
sub92,AB,EM,0.8,20,4.9409
sub93,AB,BB,0.95,20,5.4093
sub93,AB,EM,0.85,20,4.6705
sub94,AB,BB,0.55,20,4.3398
sub94,AB,EM,0.8,20,4.4776
sub95,AB,BB,0.9,20,4.7837
sub95,AB,EM,0.8,20,5.5924
sub96,AB,BB,0.85,20,6.4577
sub96,AB,EM,0.7,20,5.5392
sub97,AB,BB,0.85,20,5.7455
sub97,AB,EM,0.85,20,5.7976
sub98,AB,BB,0.7,20,3.7007
sub98,AB,EM,0.8,20,3.0973
sub99,AB,BB,0.8,20,8.5878
sub99,AB,EM,0.85,20,9.075
