subject_id,condition,accuracy,n_trials,mean_rt,mean_confidence
sub100,AB,0.975,40,9.4829,4.125
sub101,AB,0.825,40,6.0018,4.25
sub102,AB,0.85,40,4.7284,4.1
sub103,AB,0.85,40,4.378,3.5
sub104,AB,0.825,40,4.0696,4.3
sub105,AB,0.75,40,5.8447,3.575
sub106,AB,0.725,40,4.7929,4.475
sub107,AB,0.95,40,6.238,3.85
sub108,AB,0.75,40,6.0472,3.25
sub109,AB,0.8,40,6.2702,3.6
sub110,AB,0.825,40,4.3454,4.55
sub111,AB,0.875,40,6.7579,3.475
sub112,AB,0.775,40,5.8573,3.675
sub113,AB,0.875,40,4.1069,3.5
sub114,AB,0.85,40,4.7199,3.775
sub115,AB,0.9,40,5.341,4.325
sub116,AB,0.9,40,5.1036,4.25
sub117,AB,0.7,40,3.3282,3.7
sub118,AB,0.975,40,3.2508,4.9
sub119,AB,0.9,40,6.1609,4.325
sub120,AB,0.9,40,7.5384,3.875
sub121,AB,0.9,40,5.8478,4.175
sub122,AB,0.825,40,4.7617,4.0
sub123,AB,0.9,40,4.5876,4.775
sub124,AB,0.9,40,5.1795,3.975
sub125,AB,0.85,40,5.0874,4.55
sub126,AB,0.775,40,4.7429,3.875
sub127,AB,0.925,40,5.3343,4.825
sub128,AB,0.7,40,4.3475,3.725
sub129,AB,0.825,40,5.1786,4.1
sub130,AB,0.875,40,4.1167,4.425
sub131,AB,0.95,40,3.5561,4.025
sub132,AB,0.6,40,5.7874,4.275
sub133,AB,0.9,40,5.3717,3.975
sub134,AB,0.825,40,3.739,4.4
sub135,AB,0.75,40,5.0224,3.2
sub136,AB,0.9,40,6.1546,3.7
sub137,AB,0.875,40,6.9527,4.225
sub138,AB,0.7,40,5.6816,3.45
sub139,AB,0.95,40,5.7704,4.025
sub14,NB,0.825,40,6.433,4.5
sub140,AB,0.8,40,5.5566,4.475
sub141,AB,0.825,40,4.8648,3.85
sub142,AB,0.575,40,3.8726,4.425
sub143,AB,0.775,40,3.474,4.675
sub144,AB,0.925,40,5.0192,4.75
sub145,AB,0.775,40,6.1867,4.075
sub146,AB,0.75,40,8.1764,4.025
sub147,AB,0.8,40,6.2448,3.6
sub148,AB,0.725,40,5.3991,3.8
sub149,AB,0.775,40,5.9055,3.625
sub15,NB,0.8,40,4.9135,4.275
sub150,NB,0.85,40,3.7669,4.275
sub152,NB,0.8,40,9.385,3.5
sub153,NB,0.7,40,4.8938,4.225
sub154,NB,0.95,40,4.5339,4.25
sub155,NB,0.875,40,5.4585,4.475
sub156,NB,0.95,40,4.3706,4.65
sub157,AB,0.85,40,4.748,4.25
sub158,NB,0.825,40,6.2558,4.275
sub159,NB,0.825,40,5.4702,4.125
sub16,NB,0.675,40,6.2498,3.875
sub160,NB,0.75,40,3.8741,4.375
sub162,NB,0.825,40,3.2194,3.3
sub163,NB,0.95,40,4.9852,3.975
sub164,NB,0.825,40,10.8713,5.0
sub165,NB,0.875,40,4.178,4.675
sub166,NB,0.925,40,5.534,3.9
sub167,NB,0.95,40,4.5551,4.6
sub168,NB,0.975,40,6.26,4.625
sub169,NB,0.875,40,6.5849,4.375
sub17,NB,0.975,40,5.9143,4.325
sub170,NB,0.9,40,5.6424,3.575
sub171,NB,0.725,40,7.3661,3.0
sub172,NB,0.875,40,5.9835,3.575
sub173,NB,0.8,40,6.9652,4.225
sub174,NB,0.95,40,5.4812,4.15
sub175,NB,0.9,40,5.1081,4.425
sub176,NB,0.65,40,6.219,4.0
sub177,NB,0.95,40,4.2081,4.4
sub178,NB,0.825,40,3.9367,4.6
sub179,NB,0.85,40,6.8028,4.3
sub18,NB,0.95,40,4.102,4.125
sub180,NB,0.9,40,5.7611,4.425
sub181,NB,0.925,40,3.2557,4.7
sub182,NB,0.85,40,5.0403,3.825
sub183,NB,0.875,40,5.8249,4.15
sub184,NB,0.775,40,2.9811,4.1
sub185,NB,0.9,40,5.6383,4.3
sub19,NB,0.925,40,3.6124,4.85
sub21,NB,0.875,40,7.038,3.875
sub22,NB,0.925,40,6.0324,4.075
sub23,AB,0.825,40,4.6308,3.725
sub24,NB,0.9,40,3.8835,4.7
sub25,AB,0.875,40,7.5502,4.275
sub26,AB,0.925,40,4.4982,2.9
sub27,AB,0.925,40,4.5872,4.125
sub28,AB,0.95,40,11.6328,4.85
sub29,AB,0.85,40,7.3728,4.3
sub30,AB,0.775,40,4.8228,4.3
sub31,AB,0.85,40,6.0635,4.525
sub33,AB,0.825,40,6.3043,4.45
sub34,AB,0.85,40,4.6559,3.575
sub35,AB,0.9,40,4.3132,4.775
sub37,AB,0.825,40,6.3306,3.4
sub38,AB,0.825,40,5.8735,4.75
sub39,AB,0.9,40,7.0339,3.675
sub40,AB,0.775,40,6.478,4.725
sub44,NB,0.9,40,5.2613,4.4
sub45,NB,1.0,40,4.7669,4.625
sub46,NB,0.975,40,6.5393,4.575
sub47,NB,0.825,40,6.0522,4.375
sub48,NB,0.875,40,4.0104,3.975
sub49,NB,0.9,40,5.8291,3.7
sub50,NB,0.875,40,8.7179,4.225
sub51,NB,0.85,40,6.1146,4.55
sub52,NB,0.9,40,4.9399,4.275
sub53,NB,0.95,40,5.9447,4.475
sub54,NB,0.875,40,5.3362,4.35
sub55,NB,0.9,40,5.8141,4.9
sub56,NB,0.825,40,9.1216,4.425
sub57,NB,0.85,40,5.5575,4.775
sub58,NB,0.85,40,9.8754,4.075
sub59,NB,0.825,40,9.1796,3.35
sub60,NB,0.9,40,6.7171,4.575
sub61,NB,0.825,40,6.8648,3.825
sub62,NB,0.95,40,4.948,4.675
sub63,NB,0.875,40,4.737,3.5
sub64,NB,0.975,40,7.0455,3.55
sub65,NB,0.9,40,5.4043,4.35
sub66,NB,0.725,40,12.1797,3.4
sub67,NB,0.825,40,8.1335,4.225
sub68,NB,0.95,40,5.1023,4.775
sub69,NB,0.8,40,4.4899,3.9
sub70,NB,0.9,40,4.6361,3.7
sub71,NB,0.9,40,4.1486,4.625
sub72,NB,0.925,40,5.9311,3.75
sub73,NB,0.9,40,7.9566,4.075
sub74,NB,0.975,40,5.0446,4.625
sub75,NB,0.825,40,6.3766,3.75
sub76,NB,0.9,40,5.6628,4.125
sub77,NB,0.725,40,4.9725,3.675
sub78,NB,0.95,40,4.9848,4.675
sub79,NB,0.725,40,5.268,3.95
sub80,NB,0.875,40,5.7589,4.7
sub81,NB,0.875,40,5.6566,3.6
sub82,NB,0.875,40,5.8144,4.05
sub83,NB,0.95,40,4.7477,4.4
sub84,NB,0.825,40,4.8336,4.325
sub85,NB,0.875,40,6.8859,4.675
sub86,NB,0.85,40,6.2617,4.175
sub87,NB,0.825,40,4.0277,3.55
sub88,AB,0.875,40,5.4981,4.3
sub89,AB,0.825,40,7.6029,3.725
sub90,AB,0.975,40,4.95,4.7
sub91,AB,0.975,40,6.2207,4.775
sub92,AB,0.9,40,4.8516,4.1
sub93,AB,0.9,40,5.0399,4.625
sub94,AB,0.675,40,4.4087,3.625
sub95,AB,0.85,40,5.188,3.375
sub96,AB,0.775,40,5.9984,3.6
sub97,AB,0.85,40,5.7715,3.575
sub98,AB,0.75,40,3.399,4.4
sub99,AB,0.825,40,8.8314,4.075
